Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Delaine Buses,681,80.0,https://publish.bus-data.dft.gov.uk/org/28/dataset/avl/681/download-matching-report/
Hams Travel,684,56.0,https://publish.bus-data.dft.gov.uk/org/78/dataset/avl/684/download-matching-report/
Arriva UK Bus,705,100.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/705/download-matching-report/
Arriva UK Bus,709,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/709/download-matching-report/
Arriva UK Bus,710,99.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/710/download-matching-report/
Arriva UK Bus,712,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/712/download-matching-report/
Metroline Travel,738,,
York Pullman Bus Company,781,100.0,https://publish.bus-data.dft.gov.uk/org/254/dataset/avl/781/download-matching-report/
Ambassador Travel,795,100.0,https://publish.bus-data.dft.gov.uk/org/199/dataset/avl/795/download-matching-report/
Tyrers Coaches,833,86.0,https://publish.bus-data.dft.gov.uk/org/220/dataset/avl/833/download-matching-report/
Border Bus,862,99.0,https://publish.bus-data.dft.gov.uk/org/46/dataset/avl/862/download-matching-report/
Lynx,640,94.0,https://publish.bus-data.dft.gov.uk/org/33/dataset/avl/640/download-matching-report/
E Stott & Sons Ltd,937,71.0,https://publish.bus-data.dft.gov.uk/org/287/dataset/avl/937/download-matching-report/
CT4N Ltd,938,100.0,https://publish.bus-data.dft.gov.uk/org/224/dataset/avl/938/download-matching-report/
Suffolk Norse,1057,,
Henry Cooper Coaches,1070,,
Red Eagle,1095,72.0,https://publish.bus-data.dft.gov.uk/org/255/dataset/avl/1095/download-matching-report/
DRM Coaches,1154,27.0,https://publish.bus-data.dft.gov.uk/org/31/dataset/avl/1154/download-matching-report/
tallyho coaches,1187,77.0,https://publish.bus-data.dft.gov.uk/org/227/dataset/avl/1187/download-matching-report/
Bullocks Coaches,1203,,
Phoenix Taxis & Minicoaches,1209,92.0,https://publish.bus-data.dft.gov.uk/org/565/dataset/avl/1209/download-matching-report/
Axe Valley Mini Travel,1253,16.0,https://publish.bus-data.dft.gov.uk/org/222/dataset/avl/1253/download-matching-report/
Finches,1305,,
LMS Travel,1312,96.0,https://publish.bus-data.dft.gov.uk/org/168/dataset/avl/1312/download-matching-report/
Roberts Travel Group,1330,53.0,https://publish.bus-data.dft.gov.uk/org/153/dataset/avl/1330/download-matching-report/
OTS,1381,49.0,https://publish.bus-data.dft.gov.uk/org/495/dataset/avl/1381/download-matching-report/
Redline Buses,1388,63.0,https://publish.bus-data.dft.gov.uk/org/112/dataset/avl/1388/download-matching-report/
Go Goodwins Coaches Ltd,1431,,
Brylaine Travel,1436,91.0,https://publish.bus-data.dft.gov.uk/org/89/dataset/avl/1436/download-matching-report/
Stringers Pontefract Motorways,1587,,
Hopleys Coaches,1610,100.0,https://publish.bus-data.dft.gov.uk/org/478/dataset/avl/1610/download-matching-report/
Jim Hughes Coaches,1674,78.0,https://publish.bus-data.dft.gov.uk/org/289/dataset/avl/1674/download-matching-report/
Stagecoach,1692,100.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/1692/download-matching-report/
Stagecoach,1695,95.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/1695/download-matching-report/
Kirkby Lonsdale Coaches,1739,74.0,https://publish.bus-data.dft.gov.uk/org/210/dataset/avl/1739/download-matching-report/
Cumbria Classic Coaches,1750,,
Hattons Transport Ltd,1789,46.0,https://publish.bus-data.dft.gov.uk/org/64/dataset/avl/1789/download-matching-report/
Landflight,1792,76.0,https://publish.bus-data.dft.gov.uk/org/174/dataset/avl/1792/download-matching-report/
Huyton Travel,1793,93.0,https://publish.bus-data.dft.gov.uk/org/555/dataset/avl/1793/download-matching-report/
Marshalls of Sutton on Trent,1814,,
Hodgson Coach Operators,1851,9.0,https://publish.bus-data.dft.gov.uk/org/527/dataset/avl/1851/download-matching-report/
Select Bus Services,1982,76.0,https://publish.bus-data.dft.gov.uk/org/23/dataset/avl/1982/download-matching-report/
Stanley Travel,2063,0.0,https://publish.bus-data.dft.gov.uk/org/574/dataset/avl/2063/download-matching-report/
Reays Coaches,2064,,
Travel Cornwall,2285,100.0,https://publish.bus-data.dft.gov.uk/org/519/dataset/avl/2285/download-matching-report/
Littles Travel,2308,92.0,https://publish.bus-data.dft.gov.uk/org/195/dataset/avl/2308/download-matching-report/
Dartline Coaches,2392,,
Olympia Travel UK ltd,2483,,
Filers Travel Limited,2492,,
Banga Buses,2519,0.0,https://publish.bus-data.dft.gov.uk/org/47/dataset/avl/2519/download-matching-report/
NBM Hire,2598,,
Nick Maddy Coaches,2731,22.0,https://publish.bus-data.dft.gov.uk/org/70/dataset/avl/2731/download-matching-report/
A2B Travel (UK) Limited,2818,,
Travel Masters,2837,0.0,https://publish.bus-data.dft.gov.uk/org/580/dataset/avl/2837/download-matching-report/
Weardale Motor Services,2860,0.0,https://publish.bus-data.dft.gov.uk/org/583/dataset/avl/2860/download-matching-report/
Torbay Buses,2886,2.0,https://publish.bus-data.dft.gov.uk/org/335/dataset/avl/2886/download-matching-report/
Libra Travel,2888,89.0,https://publish.bus-data.dft.gov.uk/org/484/dataset/avl/2888/download-matching-report/
First Bus,699,70.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/699/download-matching-report/
First Bus,694,98.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/694/download-matching-report/
Al's Coaches,3138,67.0,https://publish.bus-data.dft.gov.uk/org/535/dataset/avl/3138/download-matching-report/
Viking Coaches (Heywood),3222,,
Blueworks Taxis Ltd,3279,,
Yeomans Travel,3334,90.0,https://publish.bus-data.dft.gov.uk/org/192/dataset/avl/3334/download-matching-report/
Blackpool Transport,3349,90.0,https://publish.bus-data.dft.gov.uk/org/29/dataset/avl/3349/download-matching-report/
First Bus,2920,92.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/2920/download-matching-report/
Glen Valley Tours,3410,0.0,https://publish.bus-data.dft.gov.uk/org/704/dataset/avl/3410/download-matching-report/
Linden Holdings (Devon) Ltd,3424,18.0,https://publish.bus-data.dft.gov.uk/org/726/dataset/avl/3424/download-matching-report/
Cotswold Green,3439,0.0,https://publish.bus-data.dft.gov.uk/org/334/dataset/avl/3439/download-matching-report/
Western Dales Bus,3566,,
Frome Bus,3587,12.0,https://publish.bus-data.dft.gov.uk/org/470/dataset/avl/3587/download-matching-report/
Vision Bus,3605,12.0,https://publish.bus-data.dft.gov.uk/org/582/dataset/avl/3605/download-matching-report/
Cumfybus,3607,58.0,https://publish.bus-data.dft.gov.uk/org/4/dataset/avl/3607/download-matching-report/
Chalkwell,3609,71.0,https://publish.bus-data.dft.gov.uk/org/398/dataset/avl/3609/download-matching-report/
Atlantic Travel,3610,,
Wright Bros Coaches,3617,,
Kevs Cars & Coaches,3640,98.0,https://publish.bus-data.dft.gov.uk/org/164/dataset/avl/3640/download-matching-report/
Belle Vue,3641,100.0,https://publish.bus-data.dft.gov.uk/org/537/dataset/avl/3641/download-matching-report/
Hollinshead Coaches,3645,,
TK Travel,3647,80.0,https://publish.bus-data.dft.gov.uk/org/410/dataset/avl/3647/download-matching-report/
Marshalls of Sutton on Trent,3650,100.0,https://publish.bus-data.dft.gov.uk/org/269/dataset/avl/3650/download-matching-report/
Coachstyle,3683,,
Beeline Coaches,3684,,
Nu-Venture,3688,66.0,https://publish.bus-data.dft.gov.uk/org/324/dataset/avl/3688/download-matching-report/
Fowlers Travel,3695,100.0,https://publish.bus-data.dft.gov.uk/org/94/dataset/avl/3695/download-matching-report/
Coventry Minibuses,3806,100.0,https://publish.bus-data.dft.gov.uk/org/709/dataset/avl/3806/download-matching-report/
Go-Ahead,788,28.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/788/download-matching-report/
Go-Ahead,786,57.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/786/download-matching-report/
HCT Group,3810,,
Sanders Coaches,4020,66.0,https://publish.bus-data.dft.gov.uk/org/185/dataset/avl/4020/download-matching-report/
Bayliss Executive Travel,4025,100.0,https://publish.bus-data.dft.gov.uk/org/419/dataset/avl/4025/download-matching-report/
Station Coaches,4254,50.0,https://publish.bus-data.dft.gov.uk/org/385/dataset/avl/4254/download-matching-report/
Rooster Bus Ltd,4323,0.0,https://publish.bus-data.dft.gov.uk/org/799/dataset/avl/4323/download-matching-report/
Jacksons of Silsden,4445,0.0,https://publish.bus-data.dft.gov.uk/org/557/dataset/avl/4445/download-matching-report/
Country Bus,4696,36.0,https://publish.bus-data.dft.gov.uk/org/65/dataset/avl/4696/download-matching-report/
Lawson's of Corby,4711,,
Eurocoaches Ltd,4731,79.0,https://publish.bus-data.dft.gov.uk/org/465/dataset/avl/4731/download-matching-report/
