"operator","noc"
"1st Bus Stop Ltd","FBSM"
"21 Transport LTD","TWET"
"A1 Coaches","ALU"
"A1 Coaches","AOLC"
"A2B Travel Group Ltd","A2BR"
"A2B Travel (UK) Limited","A2BV"
"A&A Coach Travel Ltd","AACT"
"A and J Taxis","AJTX"
"A B Coaches Ltd","NABC"
"Abellio London","ABLO"
"Abellio London","ABSU"
"Ability (Northants) CIC","ABNH"
"Abus","ABUS"
"Acklams Coaches","ACKC"
"Acklams Coaches","BKNG"
"Acme Bus Co","ACME"
"ACTICA","ACTICA"
"AC Williams","WMSA"
"Aintree Coaches","AINT"
"Airport Parking & Hotels Ltd","APHL"
"A & J Coaches","AJCO"
"ALBATROSS BUS & COACHES LTD","ATBC"
"A-Line Coaches","ALCG"
"A-LINE COACHES COVENTRY LTD","ALCC"
"Al's Coaches","ALSC"
"A Lyles & Son","LNGS"
"Ambassador Travel","AMBS"
"A & M Group - Flexibus","AAMG"
"A & M Group - Flexibus","AMGR"
"A & M Group - Flexibus","AMMG"
"AMK","AMKC"
"Andersons of Langholm","ANDL"
"Andrews Coaches","ANTR"
"ANSA ENVIRONMENTAL SERVICES LIMITED","5432"
"APT Coaches Ltd","APTC"
"Archway Travel","ARCT"
"Arriva UK Bus","ACYM"
"Arriva UK Bus","ADER"
"Arriva UK Bus","AFCL"
"Arriva UK Bus","AKSS"
"Arriva UK Bus","ALIV"
"Arriva UK Bus","ALNO"
"Arriva UK Bus","ALSO"
"Arriva UK Bus","AMAN"
"Arriva UK Bus","AMID"
"Arriva UK Bus","AMNO"
"Arriva UK Bus","AMSY"
"Arriva UK Bus","AMTM"
"Arriva UK Bus","AMTN"
"Arriva UK Bus","ANEA"
"Arriva UK Bus","ANUM"
"Arriva UK Bus","ANWE"
"Arriva UK Bus","APBB"
"Arriva UK Bus","ARBB"
"Arriva UK Bus","ARDU"
"Arriva UK Bus","ARHE"
"Arriva UK Bus","ARVA"
"Arriva UK Bus","ASCN"
"Arriva UK Bus","ASES"
"Arriva UK Bus","ASOU"
"Arriva UK Bus","ASWS"
"Arriva UK Bus","AVCH"
"Arriva UK Bus","AVLO"
"Arriva UK Bus","CBLL"
"Arriva UK Bus","GBAK"
"Arriva UK Bus","GLAH"
"Arriva UK Bus","GLAR"
"Arriva UK Bus","GLNK"
"Arriva UK Bus","GLTB"
"Arriva UK Bus","GLTG"
"Arriva UK Bus","GRLN"
"Arriva UK Bus","HBSY"
"Arriva UK Bus","HINB"
"Arriva UK Bus","HUDB"
"Arriva UK Bus","MKMT"
"Arriva UK Bus","NECO"
"Arriva UK Bus","NETH"
"Arriva UK Bus","TGMS"
"Arriva UK Bus","WRAY"
"Arriva UK Bus","YTIG"
"ASD Coaches","ASDC"
"Ashbourne Little Bus Co","ACT"
"Ashbourne Little Bus Co","ASCT"
"Ashcrofts Mini Travel","ASMT"
"Ashcroft Travel","ASHT"
"Ashwood Travel","NTMY"
"Aston Coaches","ASTC"
"ASTRA COACH TRAVEL LTD T/A EAGLE LINE TRAVEL","ACTL"
"Atlantic Travel","ATGB"
"Autocar Bus & Coach Services","AUTO"
"Axe Valley Mini Travel","AVMT"
"Banga Buses","BANG"
"Banga Buses","BBSR"
"BARKER BUS LTD","BARKER BUS LTD"
"BARNETT'S COACHES LTD","BARC"
"Bath Bus Company","BBCL"
"Bath Bus Company","CSIT"
"Bath & North East Somerset Council","BNSC"
"Bayliss Executive Travel","BLET"
"Bear Buses","BEAR"
"Bedford Borough Council (UILTA)","BedLTA"
"Beeline Coaches","BZCO"
"Beestons","BEES"
"Belle Coaches","BLCO"
"Belle Vue","BEVC"
"Bennetts Coaches Limited","BNNT"
"Bennetts Travel","BENC"
"Berry's Coaches","BYCO"
"Blackburn Private Hire","BLPH"
"Blackburn with Darwen Borough Council (UILTA)","BBDLTA"
"Black Cat Travel Ltd","BLCT"
"Blackpool Transport","BLAC"
"Bland's (Rutland) Ltd","MBTR"
"Blue Buses","SCRT"
"Blueworks Taxis Ltd","BPHI"
"BM Coaches and Rental Ltd","BMCS"
"Border Bus","BDRB"
"Border Rambler","BRCS"
"Bouden Coach Travel","5345"
"Boultons of Shropshire Ltd","BLTS"
"Bournemouth Christchurch & Poole Council (UILTA)","BCPCLTA"
"Bracknell Forest Council (UILTA)","BrackLTA"
"Brian Jones Coaches","BJCO"
"Brighton & Hove City Council (LTA)","BrightLTA"
"Bristol City Council (UILTA)","BrisLTA"
"Britannia Coaches","CARL"
"Brookline Coaches Ltd","BRLN"
"Brylaine Travel","BRYL"
"Buckinghamshire County Council","BucksLTA"
"Bullocks Coaches","BULL"
"Bus Link Ltd","BULI"
"Calderdale Metropolitan Borough Council (UILTA)","CaldLTA"
"CallConnect","CALC"
"Cambridgeshire and Peterbrough Combined Authority (UILTA)","CamPtrLTA"
"Caradoc Coaches","CARA"
"Cardinal Buses","CARD"
"Care Park UK Limited","3421"
"Carlone Buses","CLNB"
"Carolean Coaches Ltd","CRLN"
"Catteralls","CTLL"
"Cavern City Tours","CAVE"
"CAWTHORNE'S TRAVEL LTD","CAWT"
"Celtic Travel","CELT"
"Centaur Coaches","CNTC"
"Centrebus Group","CBBH"
"Centrebus Group","CBNL"
"Centrebus Group","CRDR"
"Centrebus Group","DAGC"
"Centrebus Group","HIPK"
"Centrebus Group","HULS"
"CENTURION TRAVEL LTD","CTLT"
"C G Myall & Son","MYAL"
"Chalkwell","CHLK"
"Chandlers Coach Travel","CDCT"
"Charltons","CHAR"
"Chepstow Classic Buses","CHCB"
"Cheshire East Council (UILTA)","CheshLTA"
"Cheshire West and Chester Council (UILTA)","CWC"
"City of Bradford Metropolitan District Council (UILTA)","BradMetLTA"
"City Sightseeing Oxford",""
"Cityswift","CITYSWIFT"
"City Transport Group","YCTG"
"CITY TRAVEL (YORKSHIRE) LTD","4568"
"Clarkes of London","CLKL"
"Clearway of Catshill","CLER"
"Clearway of Catshill","CRWY"
"Coach Events Services Ltd","COEV"
"Coach Hire Executive Travel Ltd","BVTE"
"Coach Services","CSVC"
"Coachstyle","COAC"
"Coastal Coaches","COAS"
"Coastal Coaches","CSTL"
"Coastal & Country Coaches","CACC"
"Coastal Liner","COLI"
"Coastliner Buses","NUTT"
"Coatham Coaches","COTY"
"Cogenhoe and Whiston Parish Council","CWPC"
"CommMiniBus","COMM"
"Community Transport","CTCV"
"Community Transport South Wiltshire","CTSW"
"Compass Travel","COMT"
"Connect2Wiltshire","C2WI"
"Coopers Tours Ltd","CPTR"
"Cornwall Council (including Isles of Scilly)  (UILTA)","CORN"
"Cotswold Green","COTS"
"Country Bus","CNTY"
"Coventry Minibuses","COMI"
"Craig of Campbeltown Ltd","BORD"
"Craig of Campbeltown Ltd","PERY"
"Cresta Coaches","CRES"
"Crosskeys Coaches","CRKC"
"Cross Street Travel Ltd","CSTR"
"Cruisers","MINI"
"CT4N Ltd","NOCT"
"CT Coaches","CTCO"
"Cuckmere Buses","CKMR"
"Cumbria County Council (LTA)","CumbLTA"
"Cumfybus","CUBU"
"CVS ESSEX LIMITED","CVSE"
"Cymru Coaches Ltd","CYMC"
"Daniel Trent TA Dan's Coach Travel","DNCT"
"Dansa LTD","DVPA"
"Dartline Coaches","DTCO"
"Dartmouth Steam Railway And River Boat Company","DPCR"
"David Goodfellow Travel","DGTR"
"Delaine Buses","DELA"
"Dents Coaches","DENN"
"Department for Transport","DFT"
"Derbyshire Community Transport","CT4T"
"Derbyshire County Council (UILTA)","DshireLTA"
"Derby (UILTA)","DerbyLTA"
"Devon County Council (UILTA)","DEVONLTA"
"Dickinsons Coaches","DIKI"
"Discover Dorset","DDLT"
"DISCOVER DORSET LTD",""
"Dons Coaches (Dunmow) Ltd","DONS"
"Dorset Council (LTA)","DOCC"
"DRM Coaches","DRMC"
"D R Taxis Llanelli Ltd","DRTM"
"Duck Tours","DUCK"
"Dunnett's Transport Ltd","DUTR"
"Durham County Council (UILTA)","DCCL"
"DVSA","DVSA"
"East Midlands Combined County Authority (UILTA)","EMCCA"
"East Riding of Yorkshire Council (UILTA)","ERYLTA"
"East Sussex County Council (UILTA)","ESussLTA"
"Edwards Coaches Limited","EDWC"
"Edward Thomas","EDTM"
"Ellenvale Coaches","ELNV"
