Name,Status,Date Invite Accepted,Organisation creation date,Date Invited,Last Log-In,Permit Holder,National Operator Codes,Licence Numbers,Number of Licences,Unregistered Services,OTC Registered Services,Out of scope services(exempted),Registered Services in scope(for BODS),Registered Services Published,Compliant Registered Services Published,% Compliant Registered Services Published,Number of School or Works Services,School or Works Services Subsidised,School or Works Services Subsidised In Part,Flexible Registration,Number of Published Services with Valid Operating Dates,Additional Published Services with Future Start Date,Number of Published Timetable Datasets,Number of Published AVL Datafeeds,Number of Published Fare Datasets,% Compliant Published Fare Datasets,Number of Pass Products,Number of Trip Products,% Operator overall AVL to Timetables matching score,Archived matching reports URL
Implementation Test,Active,2020-01-27 17:26:00+00:00,2020-01-27 17:24:07.945458+00:00,2020-01-27 17:25:29.801056+00:00,2026-07-12 08:00:05.174166+00:00,TRUE,bentest;CRTB;IMPTEST;New code;OOOO,PY0000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.00%,0.0,0.0,,
Transdev,Active,2020-01-29 09:14:06.375139+00:00,2020-01-28 17:11:13.269939+00:00,2020-01-28 17:13:55.924671+00:00,2026-07-02 15:43:05.483589+00:00,TRUE,BPTR;FLYE;HRGT;KDTR;LNUD;ROST;TPEN;YCST,PB0001746;PB0001748;PB0001873;PB2044957;PC0001838;PC0005248;PC0005249,7,83.0,135.0,0.0,135.0,115.0,115.0,85.19%,1.0,0.0,0.0,0.0,1.0,7.0,1,2,2.0,50.00%,2.0,2.0,98.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/ppc-archive/
Cumfybus,Active,2020-11-10 12:28:49.938318+00:00,2020-01-30 11:22:48.394362+00:00,2020-09-22 14:22:54.269849+00:00,2026-07-02 12:47:26.360265+00:00,TRUE,CUBU,PC1015222,1,0.0,19.0,1.0,18.0,10.0,10.0,55.56%,1.0,1.0,0.0,1.0,9.0,0.0,1,1,1.0,100.00%,1.0,1.0,58.0,https://publish.bus-data.dft.gov.uk/org/4/dataset/ppc-archive/
Royal Buses,Active,2020-11-19 15:27:00+00:00,2020-01-30 11:23:51.278156+00:00,2020-12-14 11:10:57.365810+00:00,2026-07-03 06:42:49.422132+00:00,TRUE,ESTW,PH1086607,1,0.0,4.0,0.0,4.0,3.0,3.0,75.00%,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2.0,50.00%,2.0,2.0,0.0,https://publish.bus-data.dft.gov.uk/org/5/dataset/ppc-archive/
Centrebus,Inactive,2020-02-12 14:58:32.317804+00:00,2020-01-30 11:24:49.389200+00:00,2020-02-12 14:57:49.626459+00:00,2026-01-14 14:50:52.354687+00:00,FALSE,1457,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.00%,0.0,0.0,,
Reading Buses,Active,2020-02-17 09:37:44.281255+00:00,2020-01-30 11:25:43.594866+00:00,2020-02-14 17:25:13.062167+00:00,2026-07-09 06:16:37.342106+00:00,TRUE,GLRB;NADS;NEWB;RBUS,PH0005856;PH1108688,2,0.0,64.0,0.0,64.0,42.0,42.0,65.62%,0.0,0.0,0.0,0.0,38.0,4.0,2,1,3.0,100.00%,3.0,3.0,96.0,https://publish.bus-data.dft.gov.uk/org/7/dataset/ppc-archive/
Centrebus Group,Active,2020-01-30 15:48:54.060788+00:00,2020-01-30 11:27:37.822189+00:00,2020-01-30 11:56:18.431140+00:00,2026-07-02 06:32:37.102483+00:00,TRUE,CBBH;CBNL;CRDR;DAGC;HIPK;HULS,PC0001086;PC1090231;PD1128125;PD2049888;PF0002280;PF1056524,6,1.0,188.0,7.0,181.0,171.0,171.0,94.48%,1.0,0.0,0.0,8.0,5.0,4.0,3,3,3.0,66.67%,3.0,3.0,99.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/ppc-archive/
trentbarton,Active,2020-02-20 15:42:48.127303+00:00,2020-01-30 11:28:28.734176+00:00,2020-02-20 15:34:03.741395+00:00,2026-07-07 12:07:18.599771+00:00,TRUE,BRTB;TBTN,PB0002186;PB0002711;PC0001135;PC0003375,4,0.0,34.0,0.0,34.0,34.0,34.0,100.00%,0.0,0.0,0.0,0.0,0.0,4.0,1,1,1.0,100.00%,1.0,1.0,70.0,https://publish.bus-data.dft.gov.uk/org/9/dataset/ppc-archive/
Go-Ahead,Active,2020-01-30 12:05:37.534251+00:00,2020-01-30 11:29:13.683554+00:00,2020-01-30 11:58:09.460144+00:00,2026-07-10 10:19:47.754898+00:00,TRUE,BHBC;BLUS;BTRI;CROP;CSLB;CSSO;DAMY;DBLU;DDIS;ETBU;EYMS;FAST;GAGL;GAHL;GAWY;GNEL;GONW;GOSW;KNCO;LCAG;LGEN;LONC;MBGA;METR;NATI;OEXP;OXBC;PLYC;PROC;PULH;SDMS;SVCT;SWWD;TDTR;TFCN;THTR;TOUR;UNBU;UNIL;WDBC,PB0000328;PB0001398;PB0003954;PB0004318;PC2021320;PF1000671;PF2000726;PH0000135;PH0000153;PH0005727;PH0006008;PH0007184;PH1121126;PK0001213;PK0001816;PK0002125,16,5.0,1125.0,5.0,1120.0,963.0,831.0,74.20%,37.0,6.0,1.0,5.0,300.0,129.0,19,10,11.0,90.91%,11.0,11.0,78.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/ppc-archive/
Mulleys Motorways,Active,2020-11-25 13:07:37.061366+00:00,2020-01-30 11:31:10.440283+00:00,2020-10-16 12:47:20.490612+00:00,2026-07-09 06:16:37.342106+00:00,TRUE,MULM,PF0000070,1,0.0,15.0,0.0,15.0,15.0,15.0,100.00%,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,100.00%,1.0,1.0,94.0,https://publish.bus-data.dft.gov.uk/org/11/dataset/ppc-archive/
