Registration:Registration Number,Registration:Service Number,Registration Status,Scope Status,Seasonal Status,Organisation Name,Requires Attention,Timetables requires attention,Timetables Published Status,Timetables Timeliness Status,Timetables critical DQ issues,AVL requires attention,AVL Published Status,Error in AVL to Timetable Matching,Fares requires attention,Fares Published Status,Fares Timeliness Status,Fares Compliance Status,Timetables Data set ID,TXC:Filename,TXC:NOC,TXC:Last Modified Date,Date when timetable data is over 1 year old,TXC:Operating Period Start Date,TXC:Operating Period End Date,Fares Data set ID,NETEX:Filename,NETEX:Last Modified Date,Date when fares data is over 1 year old,NETEX:Operating Period End Date,Date Registration variation needs to be published,Date for complete 42 day look ahead,Date seasonal service should be published,Seasonal Start Date,Seasonal End Date,Registration:Operator Name,Registration:Licence Number,Registration:Service Type Description,Registration:Variation Number,Registration:Expiry Date,Registration:Effective Date,Registration:Received Date,Traveline Region,Local Transport Authority,TXC: Revision Number,TXC: Derived Termination Date,Registration: Cancellation Date
PB0000092/120,21A,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,20-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_120_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2024-07-20,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,48,,2024-08-31,2024-07-18,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/120,21,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,20-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_120_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2024-07-20,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,48,,2024-08-31,2024-07-18,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/120,20,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,20-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_120_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2024-07-20,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,48,,2024-08-31,2024-07-18,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/132,X19,Registered,Out of Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,X19-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_202__SYRK_PB0000092_132_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2026-06-13,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,56,,2026-07-25,2026-04-02,,,1881,,
PB0000092/134,226,Registered,Out of Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,226-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_202__SYRK_PB0000092_134_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_S‐SY‐Child_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2026-06-13,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,46,,2026-07-25,2026-04-02,,,1881,,
PB0000092/143,67A,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,67-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_143_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2025-03-15,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,56,,2025-04-26,2025-03-12,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/143,67B,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,67-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_143_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2025-03-15,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,56,,2025-04-26,2025-03-12,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/143,67C,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,67-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_143_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2025-03-15,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,56,,2025-04-26,2025-03-12,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/143,67,Registered,In Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,67-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_143_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2025-03-15,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,56,,2025-04-26,2025-03-12,Yorkshire,South Yorkshire Mayoral Combined Authority,1881,,
PB0000092/207,12,Registered,Out of Scope,Not Seasonal,Stagecoach,No,No,Published,Up to date,No,No,Yes,No,No,Published,Not Stale,Yes,18046,12-None--SYRK-BY-2026-05-30-BY_25th_July_2026_V1-RH_30th_May_2026__SYRK_PB0000092_207_20260725-BODS_V1_1.xml,SYRK,2026-06-16,2027-06-16,2026-07-25,,5357.0,FX_PI_01_UK_SYRK_NETWORK_FARE_Xtra‐Shfd‐STUD‐Bus_wef-20260523_20260522-0915.xml,2026-05-23,2027-05-23,,2025-07-19,2026-08-23,,,,THE YORKSHIRE TRACTION CO LTD,PB0000092,Normal Stopping,24,,2025-08-30,2025-07-17,,,1881,,
