line_key,hour_of_day,n_trips,mean_prob_noncompliant,total_hypothetical_exposure
1,5.0,2,0.2588670500736092,0.937263081298258
1,6.0,10,0.23442722442022063,4.243876975416851
1,7.0,9,0.38985820930454657,6.351904110169075
1,8.0,13,0.3052080223461042,7.182804354467482
1,9.0,13,0.2849337849810829,6.705667877812738
1,10.0,10,0.24728418309173034,4.47662874311299
1,11.0,10,0.23192857698632768,4.198643524649313
1,12.0,10,0.34379901633332244,6.223853621081812
1,13.0,10,0.24446753444905464,4.425638460938838
1,14.0,11,0.3039952593752207,6.053607184907668
1,15.0,12,0.29911178746693756,6.497847497257948
1,16.0,19,0.3822483855711461,13.147827604974523
1,17.0,4,0.2433521689914044,1.7621787221250584
110,3.0,2,0.2776965795764726,1.0054379333554506
110,4.0,4,0.30738124832368463,2.225830563258173
110,5.0,8,0.28211156416588523,4.085691922935772
110,6.0,8,0.4149895899369465,6.010103204102697
110,7.0,8,0.2690805227731673,3.8969693488609174
110,8.0,11,0.279121975996281,5.558293253748164
110,9.0,14,0.35542987284173544,9.008172666133316
110,10.0,10,0.3608957928554605,6.533359551613533
110,11.0,8,0.2734431930988034,3.9601518949737806
110,12.0,7,0.4701829427587276,5.958262735736986
110,13.0,8,0.32641671515063364,4.727343030213303
110,14.0,11,0.3733027061641417,7.433760476479744
110,15.0,11,0.33000256193078115,6.571503397940658
110,16.0,11,0.3761980187195028,7.491416260072256
110,17.0,13,0.4417994541067571,10.397364454466402
110,18.0,20,0.5024746901249019,18.192774098014304
110,19.0,9,0.32324396149147083,5.26656768687175
110,20.0,4,0.35456259683082325,2.567483439273358
110,21.0,3,0.1682686290033224,0.9138589113251865
110,22.0,12,0.4843493608176301,10.521913257381085
2,5.0,3,0.33844849351354284,1.8380976516771215
2,6.0,10,0.16068665828498047,2.908938631333654
2,7.0,11,0.2755044467395407,5.486255613604616
2,8.0,12,0.24031189509296602,5.2204898353052895
2,9.0,15,0.23877876400095796,6.483980484359346
2,10.0,10,0.18196076895229069,3.2940675712712304
2,11.0,7,0.18615339293610886,2.3589771627070237
2,12.0,8,0.16867602809942045,2.442857270443035
2,13.0,10,0.1994280495553588,3.6102808018712174
2,14.0,11,0.22938516225214317,4.567859607990892
2,15.0,16,0.36074287696688945,10.448946061733013
2,16.0,17,0.21124979314234227,6.501296213238575
20,19.0,3,0.3369227579346908,1.8298114544024515
20,21.0,5,0.5614609702982754,5.082112989088754
20,22.0,1,0.9416423193964958,1.704671532177307
20A,17.0,3,0.4406661430551379,2.3932368388304033
20A,18.0,4,0.3912044926243058,2.8328172942096552
20A,20.0,3,0.36071305911006085,1.9590154472144015
3A,6.0,2,0.24623666385982151,0.8915330639115124
3A,7.0,2,0.3183230867834033,1.1525316840522903
3A,8.0,2,0.46730820952902474,1.6919524221201672
3A,9.0,3,0.5139282100336225,2.7911196359206976
3A,10.0,2,0.48195842321871213,1.7449954973998132
3A,11.0,2,0.48160827780368654,1.7437277486828713
3A,12.0,2,0.48195842321871213,1.7449954973998132
3A,13.0,2,0.5601882165201206,2.0282370188609447
3A,14.0,2,0.48195842321871213,1.7449954973998132
3A,15.0,4,0.4747483492213742,3.4377809034093794
3A,16.0,4,0.4596164885348719,3.328207016977913
3C,6.0,4,0.3453819954744558,2.5010042275467734
3C,7.0,2,0.37454189347178496,1.356079458744669
3C,8.0,3,0.5311536775202933,2.8846703295804494
3C,9.0,4,0.5421224960476958,3.925655280904108
3C,10.0,2,0.4342860567234065,1.5723912625176033
3C,11.0,2,0.4342860567234065,1.5723912625176033
3C,12.0,2,0.39782122626647876,1.4403654239902188
3C,13.0,2,0.4342860567234065,1.5723912625176033
3C,14.0,2,0.4342860567234065,1.5723912625176033
3C,15.0,3,0.4269022541891778,2.3184858138226536
3C,16.0,5,0.4111563075866595,3.7216172127189293
61,3.0,3,0.2749602398011175,1.4932959690151164
61,4.0,4,0.2511377234885419,1.818556023102743
61,5.0,6,0.21483242900793487,2.333489383652854
61,6.0,5,0.3105507531181802,2.8109772534228927
61,7.0,7,0.49473259294955385,6.269361358432957
