line_key,operator_ref,n_trips,mean_prob_noncompliant,total_hypothetical_exposure,mean_hypothetical_exposure,observed_compliance_rate,service_reliability,below_85_threshold,gap_to_85,status,near_85,centroid_lat,centroid_lon,n_gps_points
79C,ANWE,323,0.4690160815161077,274.2489644968667,0.8490680015382869,0.5232198142414861,0.5232198142414861,1,0.3267801857585138,below_85,0,53.362695482972136,-2.806979362229102,323
82A,ANWE,227,0.4353747464872052,178.9137967137861,0.7881665053470753,0.5638766519823789,0.5638766519823789,1,0.286123348017621,below_85,0,53.35422027312775,-2.801371154185022,227
110,ANWE,182,0.3712731672278729,122.32625808675684,0.6721222971799826,0.5879120879120879,0.5879120879120879,1,0.262087912087912,below_85,0,53.35792964835164,-2.6414329505494503,182
61,ANWE,106,0.4504186216331734,86.4324736906337,0.8154006951946575,0.5283018867924528,0.5283018867924528,1,0.3216981132075471,below_85,0,53.37083899056604,-2.8166508679245283,106
1,ANWE,133,0.2999006326052346,72.20774175821255,0.5429153515655079,0.7443609022556391,0.7443609022556391,1,0.1056390977443608,below_85,0,53.32768444360902,-2.6984144436090225,133
X4,ANWE,111,0.3480353106628154,69.93603836668959,0.6300543996999062,0.6756756756756757,0.6756756756756757,1,0.1743243243243243,below_85,0,53.36544449549549,-2.815804918918919,111
X30,ANWE,80,0.4357084103229671,63.10164342518654,0.7887705428148317,0.5875,0.5875,1,0.2624999999999999,below_85,0,53.3006869625,-2.7291203625000002,80
2,ANWE,130,0.2343917279903352,55.162046905535014,0.4243234377348847,0.8,0.8,1,0.0499999999999999,below_85,1,53.33705453076923,-2.704625276923077,130
P5,ANWE,25,0.9242091425616998,41.82779869411185,1.673111947764474,0.0,0.0,1,0.85,below_85,0,53.618130920000006,-2.9933823200000003,25
3C,ANWE,31,0.4354510320133579,24.437442797378218,0.7883046063670391,0.4193548387096774,0.4193548387096774,1,0.4306451612903225,below_85,0,53.327424032258065,-2.6988873548387096,31
3A,ANWE,27,0.4562342010900088,22.300075986135216,0.8259287402272302,0.4814814814814814,0.4814814814814814,1,0.3685185185185185,below_85,0,53.3260495925926,-2.6980224814814817,27
P2,ANWE,12,0.951123550074766,20.66202683543373,1.7218355696194774,0.0,0.0,1,0.85,below_85,0,53.63685708333333,-3.0240040833333333,12
P14,ANWE,8,0.958380918806538,13.879789687604529,1.734973710950566,0.0,0.0,1,0.85,below_85,0,53.624108875,-3.024682,8
20,ANWE,9,0.5288572716324383,8.616595975668513,0.957399552852057,0.3333333333333333,0.3333333333333333,1,0.5166666666666666,below_85,0,53.32371888888889,-2.6707355555555554,9
20A,ANWE,10,0.396895557699282,7.18506958025446,0.718506958025446,0.3,0.3,1,0.55,below_85,0,53.329541600000006,-2.6933401,10
P12,ANWE,4,0.9510999379647676,6.887171296817887,1.7217928242044718,0.0,0.0,1,0.85,below_85,0,53.624624,-3.0217355,4
P10,ANWE,3,0.951760196338756,5.168964304401671,1.7229881014672237,0.0,0.0,1,0.85,below_85,0,53.624005333333336,-3.0289363333333337,3
