line_key,operator_ref,n_journeys,n_compliant,avg_delay_minutes,std_delay_minutes,service_reliability,below_85_threshold,gap_to_85,status,near_85
X4,ANWE,111,75,9.137237237237237,20.716606201300745,0.6756756756756757,1,0.17432432432432432,below_85,0
1,ANWE,133,99,1.9090225563909775,4.806050878576625,0.7443609022556391,1,0.10563909774436087,below_85,0
20A,ANWE,10,3,7.166666666666667,11.077201032573589,0.3,1,0.55,below_85,0
P5,ANWE,25,0,313.06800000000004,178.15139050246833,0.0,1,0.85,below_85,0
X30,ANWE,80,47,13.334583333333333,25.105199165524397,0.5875,1,0.26249999999999996,below_85,0
2,ANWE,130,104,4.796923076923076,22.483523854035525,0.8,1,0.04999999999999993,below_85,1
110,ANWE,182,107,7.607600732600732,16.64824309286465,0.5879120879120879,1,0.26208791208791204,below_85,0
20,ANWE,9,3,11.829629629629629,19.94720423493286,0.3333333333333333,1,0.5166666666666666,below_85,0
3A,ANWE,27,13,5.140123456790123,7.696026918225569,0.48148148148148145,1,0.3685185185185185,below_85,0
61,ANWE,106,56,26.586320754716986,42.699312708814546,0.5283018867924528,1,0.32169811320754715,below_85,0
79C,ANWE,323,169,16.958771929824557,32.20787037111547,0.5232198142414861,1,0.32678018575851386,below_85,0
3C,ANWE,31,13,5.905376344086022,10.89802257555689,0.41935483870967744,1,0.43064516129032254,below_85,0
82A,ANWE,227,128,23.722099853157122,40.14996274227795,0.5638766519823789,1,0.28612334801762107,below_85,0
P14,ANWE,8,0,358.4041666666667,164.6705956129503,0.0,1,0.85,below_85,0
P2,ANWE,12,0,267.0722222222222,228.21623953288685,0.0,1,0.85,below_85,0
P12,ANWE,4,0,373.93333333333334,259.8020125802353,0.0,1,0.85,below_85,0
P10,ANWE,3,0,335.86111111111114,33.87003892877948,0.0,1,0.85,below_85,0
